Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
158,Netherlands Antilles,6,6,18,0,3,1
159,New Caledonia,5,5,37,1,7.4,2
160,Mauritania,5,5,24,0,4.8,1
161,Equatorial Guinea,5,5,30,0,6,2
162,Guadeloupe,5,5,1,0,0.2,1
163,Djibouti,5,5,39,0,7.8,3
164,Chad,5,5,6,0,1.2,1
165,Togo,5,5,3,0,0.6,1
166,Bermuda,5,5,15,0,3,1
167,French Guiana,4,4,5,1,1.25,1
168,Mali,4,4,9,1,2.25,1
169,Guyana,3,3,1,0,0.33,1
170,Greenland,3,3,105,0,35,3
171,American Samoa,3,3,2,0,0.67,1
172,Haïti,3,3,8,1,2.67,2
173,Samoa,3,3,26,1,8.67,1
174,Cape Verde,3,3,37,0,12.33,2
175,Andorra,2,2,20,0,10,1
176,Saint Lucia,2,2,0,0,0,0
177,Seychelles,2,2,9,2,4.5,1
178,Nauru,2,2,2,0,1,1
179,Burundi,2,2,30,0,15,1
180,Antigua and Barbuda,2,2,0,0,0,0
181,Maldives,2,1,11,0,5.5,1
182,Saint Helena,2,2,57,0,28.5,1
183,Cayman Islands,2,2,4,0,2,1
184,Christmas Island,1,1,0,0,0,0
185,Gibraltar,1,1,0,0,0,0
186,Palau,1,1,0,0,0,0
187,Gambia,1,1,0,0,0,0
188,French Polynesia,1,1,0,0,0,0
189,Democratic Republic Congo,1,1,0,0,0,0
190,Belize,1,1,9,0,9,1
191,British Indian Ocean Territory,1,1,57,0,57,1
192,Bahamas,1,1,0,0,0,0
193,Liberia,1,1,18,0,18,1
194,Kiribati,1,1,1,0,1,1
195,Comoros,1,1,0,0,0,0
196,Montserrat,1,1,1,0,1,1
197,Reunion,1,1,5,1,5,1
